subj,trial_id,eye,startline,endline,SaclineIndex,start_time,end_time,duration,x1_pos,y1_pos,x2_pos,y2_pos,ampl,pk
1950138,1,L,1.0,2.0,21.0,858528.0,858592.0,68.0,1002.1,99.8,251.4,164.1,18.36,533.0
1950138,1,L,2.0,3.0,35.0,862232.0,862292.0,64.0,908.2,151.5,254.5,218.5,16.13,570.0
1950138,1,L,3.0,4.0,48.0,865720.0,865788.0,72.0,939.4,202.4,250.0,275.1,16.97,598.0
1950138,1,L,4.0,5.0,67.0,870096.0,870164.0,72.0,932.6,268.5,262.7,343.5,16.52,530.0
1950138,1,L,5.0,6.0,85.0,874892.0,874956.0,68.0,969.5,305.1,314.0,410.9,16.28,459.0
1950138,1,L,6.0,7.0,101.0,879992.0,880052.0,64.0,1006.3,353.8,270.4,454.5,18.1,602.0
1950138,1,L,7.0,8.0,117.0,884048.0,884104.0,60.0,862.0,436.6,228.1,514.1,15.58,517.0
1950138,1,L,8.0,9.0,136.0,888916.0,888980.0,68.0,991.6,489.7,253.3,577.6,18.0,602.0
1950138,1,L,9.0,10.0,151.0,892700.0,892764.0,68.0,963.7,540.4,255.7,625.7,17.25,539.0
1950138,1,L,10.0,11.0,166.0,896668.0,896728.0,64.0,935.7,596.6,269.0,666.5,16.21,596.0
1950138,1,L,11.0,12.0,183.0,900704.0,900772.0,72.0,962.7,659.4,233.3,737.5,17.57,573.0
1950138,1,L,12.0,13.0,199.0,904732.0,904792.0,64.0,937.0,754.4,243.2,817.0,16.6,563.0
1950138,1,R,1.0,2.0,224.0,858528.0,858592.0,68.0,1029.3,106.1,267.7,163.7,18.61,539.0
1950138,1,R,2.0,3.0,238.0,862232.0,862304.0,76.0,923.5,149.6,224.9,189.5,17.13,577.0
1950138,1,R,3.0,4.0,251.0,865720.0,865780.0,64.0,945.8,193.9,247.9,243.7,17.15,607.0
1950138,1,R,4.0,5.0,270.0,870100.0,870156.0,60.0,931.6,273.4,280.5,315.9,16.01,527.0
1950138,1,R,5.0,6.0,288.0,874892.0,874956.0,68.0,980.2,315.1,308.3,393.1,16.58,479.0
1950138,1,R,6.0,7.0,306.0,879992.0,880056.0,68.0,1019.6,364.6,262.8,428.8,18.5,617.0
1950138,1,R,7.0,8.0,322.0,884048.0,884104.0,60.0,873.0,449.7,230.5,511.1,15.74,536.0
1950138,1,R,8.0,9.0,341.0,888920.0,888988.0,72.0,997.2,506.0,225.1,567.9,18.73,600.0
1950138,1,R,9.0,10.0,357.0,892700.0,892772.0,76.0,976.6,558.7,249.4,619.8,17.65,504.0
1950138,1,R,10.0,11.0,372.0,896668.0,896728.0,64.0,947.2,612.9,280.6,655.2,16.15,572.0
1950138,1,R,11.0,12.0,389.0,900704.0,900764.0,64.0,966.6,685.7,267.6,736.4,16.83,560.0
1950138,1,R,12.0,13.0,405.0,904732.0,904792.0,64.0,944.2,770.9,260.8,803.2,16.31,540.0
1950138,2,L,1.0,2.0,18.0,919840.0,919904.0,68.0,954.8,91.9,297.4,144.5,16.17,547.0
1950138,2,L,2.0,3.0,36.0,924564.0,924668.0,108.0,949.9,167.0,290.1,224.4,16.23,537.0
1950138,2,L,3.0,4.0,51.0,928852.0,928916.0,68.0,914.9,203.4,320.5,278.5,14.76,464.0
1950138,2,L,4.0,5.0,69.0,933104.0,933156.0,56.0,775.6,271.2,347.8,326.4,10.69,490.0
1950138,2,L,5.0,6.0,84.0,936864.0,936924.0,64.0,963.0,313.3,303.7,399.6,16.3,538.0
1950138,2,L,6.0,7.0,101.0,941112.0,941176.0,68.0,975.4,369.6,309.8,437.7,16.38,564.0
1950138,2,L,7.0,8.0,116.0,944840.0,944908.0,72.0,935.3,411.4,237.5,507.9,17.14,564.0
1950138,2,L,8.0,9.0,132.0,948728.0,948796.0,72.0,998.2,470.4,269.3,557.6,17.82,585.0
1950138,2,R,1.0,2.0,164.0,919840.0,919908.0,72.0,962.9,110.8,287.8,153.4,16.56,565.0
1950138,2,R,2.0,3.0,183.0,924616.0,924668.0,56.0,753.7,173.9,264.0,212.2,12.14,580.0
1950138,2,R,3.0,4.0,198.0,928852.0,928916.0,68.0,913.6,218.4,319.8,278.9,14.7,468.0
1950138,2,R,4.0,5.0,216.0,933104.0,933156.0,56.0,758.9,268.2,316.9,308.9,11.0,551.0
1950138,2,R,5.0,6.0,231.0,936864.0,936924.0,64.0,956.9,314.1,280.3,387.8,16.68,549.0
1950138,2,R,6.0,7.0,248.0,941112.0,941176.0,68.0,968.3,386.7,291.9,417.7,16.58,559.0
1950138,2,R,7.0,8.0,263.0,944840.0,944908.0,72.0,921.6,454.6,227.6,512.7,16.95,563.0
1950138,2,R,8.0,9.0,279.0,948728.0,948800.0,76.0,996.8,503.0,264.1,556.4,17.83,592.0
1950138,3,L,1.0,2.0,18.0,963900.0,963968.0,72.0,971.1,92.1,277.9,133.5,16.98,565.0
1950138,3,L,2.0,3.0,32.0,968056.0,968132.0,80.0,940.3,149.7,266.9,210.3,16.55,446.0
1950138,3,L,3.0,4.0,48.0,972240.0,972300.0,64.0,961.0,199.7,313.4,248.6,15.94,522.0
1950138,3,L,4.0,5.0,64.0,976436.0,976508.0,76.0,986.7,255.4,231.8,341.3,18.51,565.0
1950138,3,L,5.0,6.0,80.0,980780.0,980832.0,56.0,962.8,295.7,303.7,395.5,16.34,578.0
1950138,3,L,6.0,7.0,94.0,984980.0,985044.0,68.0,978.2,365.1,336.1,447.9,15.85,472.0
1950138,3,L,7.0,8.0,112.0,989352.0,989416.0,68.0,928.6,415.3,286.4,498.5,15.83,501.0
1950138,3,L,8.0,9.0,127.0,994156.0,994216.0,64.0,961.6,482.8,294.7,562.0,16.34,571.0
1950138,3,L,9.0,10.0,140.0,997800.0,997868.0,72.0,952.7,549.4,263.3,638.3,16.81,516.0
1950138,3,L,10.0,11.0,164.0,1002916.0,1002968.0,56.0,932.5,637.1,275.6,698.3,15.92,461.0
1950138,3,L,11.0,12.0,179.0,1006204.0,1006256.0,56.0,871.2,691.6,270.7,771.5,14.56,524.0
1950138,3,L,12.0,13.0,197.0,1010620.0,1010684.0,68.0,934.7,762.5,271.9,824.7,15.87,498.0
1950138,3,L,13.0,14.0,214.0,1015020.0,1015080.0,64.0,899.5,818.7,286.5,873.6,14.63,471.0
1950138,3,R,1.0,2.0,255.0,963900.0,963964.0,68.0,979.3,102.8,292.9,123.2,16.79,574.0
1950138,3,R,2.0,3.0,269.0,968056.0,968132.0,80.0,947.3,162.6,256.3,220.4,16.98,456.0
1950138,3,R,3.0,4.0,285.0,972240.0,972300.0,64.0,940.5,204.1,290.5,247.4,15.99,526.0
1950138,3,R,4.0,5.0,301.0,976436.0,976512.0,80.0,1000.5,269.7,228.3,325.0,18.86,560.0
1950138,3,R,5.0,6.0,317.0,980780.0,980832.0,56.0,965.1,333.8,292.4,400.0,16.57,563.0
1950138,3,R,6.0,7.0,331.0,984980.0,985044.0,68.0,972.1,401.1,324.7,449.1,15.89,500.0
1950138,3,R,7.0,8.0,349.0,989352.0,989416.0,68.0,925.3,463.2,284.9,514.7,15.71,508.0
1950138,3,R,8.0,9.0,363.0,994156.0,994220.0,68.0,969.5,511.3,295.8,575.6,16.47,559.0
1950138,3,R,9.0,10.0,376.0,997800.0,997868.0,72.0,952.1,573.8,256.0,649.9,16.93,498.0
1950138,3,R,10.0,11.0,400.0,1002916.0,1002968.0,56.0,930.8,663.0,277.6,715.8,15.81,481.0
1950138,3,R,11.0,12.0,415.0,1006204.0,1006248.0,48.0,883.8,727.3,278.9,784.9,14.6,519.0
1950138,3,R,12.0,13.0,433.0,1010620.0,1010684.0,68.0,942.3,795.0,295.3,841.3,15.46,513.0
