subj,trial_id,trial_type,trialstart,trialend,tdur,recstart,recend,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount,rpregres,ttfixurt
1950149,3,story03,727599,827852,100253,727662,827015,20,R,77870.0,0.0,378,119,1,6,Cowboy,1,215,280,204.16666666666666,280.0,200.0,1.0,0.0,0.0,995.0,1.0,200.0,224.0,200.0,0.0,0.0,995.0,416.0,3.0,,47560.0
1950149,3,story03,727599,827852,100253,727662,827015,20,R,77870.0,0.0,378,119,2,4, was,1,280,323,280.0,323.0,304.0,2.0,1.0,1.0,3.0,2.0,224.0,196.0,500.0,1.0,1.0,3.0,340.0,2.0,,47560.0
1950149,3,story03,727599,827852,100253,727662,827015,20,R,77870.0,0.0,378,119,3,8, without,1,323,409,323.0,409.0,88.0,1.0,1.0,1.0,5.0,1.0,88.0,124.0,1192.0,7.0,1.0,5.0,696.0,4.0,,47560.0
1950149,3,story03,727599,827852,100253,727662,827015,20,R,77870.0,0.0,378,119,4,2, a,1,409,431,409.0,431.0,,,,,,,,,,,,,,,,47560.0
1950149,3,story03,727599,827852,100253,727662,827015,20,R,77870.0,0.0,378,119,5,6, doubt,1,431,496,431.0,496.0,128.0,1.0,1.0,3.0,7.0,1.0,128.0,88.0,1320.0,8.0,1.0,5.0,80.0,1.0,,47560.0
1950149,3,story03,727599,827852,100253,727662,827015,20,R,77870.0,0.0,378,119,6,4, the,1,496,539,496.0,539.0,200.0,1.0,1.0,5.0,19.0,2.0,200.0,80.0,652.0,3.0,3.0,17.0,388.0,2.0,,47560.0
1950149,3,story03,727599,827852,100253,727662,827015,20,R,77870.0,0.0,378,119,7,8, ugliest,1,539,625,539.0,625.0,544.0,2.0,0.0,0.0,995.0,1.0,212.0,272.0,544.0,0.0,0.0,995.0,68.0,1.0,,47560.0
1950149,3,story03,727599,827852,100253,727662,827015,20,R,77870.0,0.0,378,119,8,6, horse,1,625,690,625.0,690.0,272.0,1.0,0.0,0.0,995.0,5.0,272.0,188.0,272.0,0.0,0.0,995.0,192.0,1.0,,47560.0
1950149,3,story03,727599,827852,100253,727662,827015,20,R,77870.0,0.0,378,119,9,3, in,1,690,722,690.0,722.0,,,,,,,,,,,,,,,,47560.0
1950149,3,story03,727599,827852,100253,727662,827015,20,R,77870.0,0.0,378,119,10,4, the,1,722,765,722.0,765.0,144.0,1.0,0.0,0.0,995.0,2.0,144.0,172.0,144.0,0.0,0.0,995.0,344.0,1.0,,47560.0
1950149,3,story03,727599,827852,100253,727662,827015,20,R,77870.0,0.0,378,119,11,7, world.,1,765,841,765.0,841.0,188.0,1.0,1.0,10.0,46.0,0.0,188.0,144.0,1276.0,6.0,6.0,27.0,372.0,2.0,,47560.0
1950149,3,story03,727599,827852,100253,727662,827015,20,R,77870.0,0.0,378,119,12,5, Even,1,841,895,841.0,895.0,152.0,1.0,0.0,0.0,995.0,3.0,152.0,164.0,152.0,0.0,0.0,995.0,,,,47560.0
1950149,3,story03,727599,827852,100253,727662,827015,20,R,77870.0,0.0,378,119,13,4," so,",1,895,938,895.0,938.0,164.0,1.0,1.0,11.0,53.0,1.0,164.0,200.0,780.0,3.0,11.0,57.0,416.0,2.0,,47560.0
1950149,3,story03,727599,827852,100253,727662,827015,20,R,77870.0,0.0,378,119,14,2, I,1,938,960,938.0,970.8333333333334,216.0,1.0,0.0,0.0,995.0,1.0,216.0,504.0,216.0,0.0,0.0,995.0,,,,47560.0
1950149,3,story03,727599,827852,100253,727662,827015,20,R,77870.0,0.0,378,119,15,5,loved,2,215,269,204.16666666666666,269.0,136.0,1.0,0.0,0.0,995.0,4.0,136.0,124.0,136.0,0.0,0.0,995.0,,,,47560.0
1950149,3,story03,727599,827852,100253,727662,827015,20,R,77870.0,0.0,378,119,16,4, him,2,269,312,269.0,312.0,124.0,1.0,0.0,0.0,995.0,2.0,124.0,172.0,124.0,0.0,0.0,995.0,368.0,3.0,,47560.0
1950149,3,story03,727599,827852,100253,727662,827015,20,R,77870.0,0.0,378,119,17,7, beyond,2,312,388,312.0,388.0,172.0,1.0,1.0,16.0,71.0,1.0,172.0,96.0,472.0,3.0,16.0,76.0,140.0,1.0,,47560.0
1950149,3,story03,727599,827852,100253,727662,827015,20,R,77870.0,0.0,378,119,18,4, all,2,388,431,388.0,431.0,68.0,1.0,1.0,16.0,72.0,0.0,68.0,208.0,624.0,2.0,16.0,77.0,348.0,1.0,,47560.0
1950149,3,story03,727599,827852,100253,727662,827015,20,R,77870.0,0.0,378,119,19,8, reason.,2,431,517,431.0,517.0,108.0,1.0,0.0,0.0,995.0,3.0,108.0,200.0,108.0,0.0,0.0,995.0,,,,47560.0
1950149,3,story03,727599,827852,100253,727662,827015,20,R,77870.0,0.0,378,119,20,2, I,2,517,539,517.0,539.0,200.0,1.0,0.0,0.0,995.0,1.0,200.0,208.0,200.0,0.0,0.0,995.0,,,,47560.0
