subj,trial_id,trial_type,sampfreq,script,sessdate,srcfile,trialstart,trialend,tdur,recstart,recend,blinks,eye,start_time,end_time,duration,x_pos,y_pos,pup_size,valid,line_no,region_no
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,587371.0,587527.0,160.0,220.6,68.5,1306.0,yes,1.0,1.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,587583.0,587827.0,248.0,464.0,292.3,1348.0,yes,1.0,6.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,587979.0,588071.0,96.0,265.6,97.9,1260.0,yes,1.0,2.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,588091.0,588363.0,276.0,245.4,67.5,1169.0,yes,1.0,1.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,588387.0,588715.0,332.0,311.7,72.4,1187.0,yes,1.0,3.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,588739.0,589095.0,360.0,375.3,87.2,1291.0,yes,1.0,4.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,589111.0,589311.0,204.0,403.4,75.4,1373.0,yes,1.0,5.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,589327.0,589495.0,172.0,371.4,73.4,1388.0,yes,1.0,4.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,589527.0,589703.0,180.0,476.3,71.7,1367.0,yes,1.0,6.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,589727.0,589823.0,100.0,527.5,75.3,1355.0,yes,1.0,6.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,589843.0,590179.0,340.0,557.6,77.9,1366.0,yes,1.0,7.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,590203.0,590579.0,380.0,488.7,76.9,1396.0,yes,1.0,6.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,590607.0,590715.0,112.0,581.7,99.0,1384.0,yes,1.0,7.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,590739.0,590943.0,208.0,634.2,95.9,1376.0,yes,1.0,8.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,590963.0,591163.0,204.0,591.7,90.3,1446.0,yes,1.0,8.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,591191.0,591455.0,268.0,721.0,96.2,1436.0,yes,1.0,9.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,591475.0,591607.0,136.0,762.8,83.2,1425.0,yes,1.0,10.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,591631.0,591719.0,92.0,814.1,87.2,1418.0,yes,1.0,11.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,591759.0,591955.0,200.0,690.4,80.2,1441.0,yes,1.0,9.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,591983.0,592063.0,84.0,797.2,83.0,1471.0,yes,1.0,10.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,592087.0,592291.0,208.0,842.2,92.7,1474.0,yes,1.0,11.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,592311.0,592475.0,168.0,904.2,99.8,1457.0,yes,1.0,13.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,592491.0,592651.0,164.0,879.3,99.4,1443.0,yes,1.0,12.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,592667.0,592787.0,124.0,919.3,107.4,1427.0,yes,1.0,13.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,592807.0,592927.0,124.0,948.9,101.1,1414.0,yes,1.0,13.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,592947.0,593023.0,80.0,975.0,99.5,1406.0,yes,1.0,13.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,593087.0,593199.0,116.0,276.7,155.5,1449.0,yes,2.0,15.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,593219.0,593291.0,76.0,233.1,170.8,1456.0,yes,2.0,14.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,593303.0,593487.0,188.0,213.3,168.9,1440.0,yes,2.0,14.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,593515.0,593823.0,312.0,291.1,165.8,1442.0,yes,2.0,15.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,593839.0,593995.0,160.0,325.8,167.0,1455.0,yes,2.0,16.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,594023.0,594243.0,224.0,433.5,162.1,1473.0,yes,2.0,17.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,594263.0,594467.0,208.0,465.5,171.1,1513.0,yes,2.0,18.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,594487.0,594583.0,100.0,505.6,161.1,1506.0,yes,2.0,18.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,594603.0,594987.0,388.0,534.1,158.4,1488.0,yes,2.0,20.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,595007.0,595151.0,148.0,502.9,156.9,1433.0,yes,2.0,18.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,595183.0,595335.0,156.0,611.8,149.7,1404.0,yes,2.0,21.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,595355.0,595479.0,128.0,658.1,142.3,1389.0,yes,2.0,21.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,595491.0,595931.0,444.0,675.05,151.3,1343.0,yes,2.0,22.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,595943.0,596091.0,152.0,671.3,166.0,1316.0,yes,2.0,22.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,596111.0,596347.0,240.0,716.3,168.2,1318.0,yes,2.0,23.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,596367.0,596479.0,116.0,761.4,167.9,1294.0,yes,2.0,24.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,596499.0,596579.0,84.0,791.2,176.8,1279.0,yes,2.0,24.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,596599.0,596811.0,216.0,825.8,185.2,1262.0,yes,2.0,25.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,596835.0,597031.0,200.0,894.7,180.2,1257.0,yes,2.0,25.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,597055.0,597227.0,176.0,909.7,173.4,1275.0,yes,2.0,26.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,597251.0,597475.0,228.0,841.7,169.1,1319.0,yes,2.0,25.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,597519.0,597627.0,112.0,903.8,173.0,1332.0,yes,2.0,26.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,597707.0,597835.0,132.0,228.9,239.2,1384.0,yes,3.0,27.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,597855.0,598039.0,188.0,268.0,234.0,1379.0,yes,3.0,27.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,598051.0,598191.0,144.0,254.2,236.5,1355.0,yes,3.0,27.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,598203.0,599299.0,1100.0,231.6,242.8,1378.0,yes,3.0,27.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,599319.0,599487.0,172.0,243.3,247.4,1410.0,yes,3.0,27.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,599511.0,599819.0,312.0,294.7,252.1,1398.0,yes,3.0,27.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,599843.0,599947.0,108.0,348.6,254.6,1396.0,yes,3.0,28.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,599967.0,600195.0,232.0,282.2,250.2,1377.0,yes,3.0,27.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,600207.0,600327.0,124.0,267.8,245.6,1395.0,yes,3.0,27.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,600339.0,600547.0,212.0,244.7,245.4,1401.0,yes,3.0,27.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,600559.0,600867.0,312.0,229.4,251.1,1394.0,yes,3.0,27.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,600879.0,601239.0,364.0,250.5,243.8,1373.0,yes,3.0,27.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,601255.0,601515.0,264.0,228.0,245.7,1342.0,yes,3.0,27.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,601531.0,601991.0,464.0,258.4,245.6,1287.0,yes,3.0,27.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,602003.0,602335.0,336.0,265.2,251.0,1232.0,yes,3.0,27.0
1950149,1,story01,250,ET_Passa..._v2binoc,Fri Oct  9 22:16:27 2015,1950149.edf,587371,667364,79993,587408,666560,11,L,602359.0,602795.0,440.0,293.8,246.5,1298.0,yes,3.0,27.0
