subj,trial_id,eye,startline,endline,FixlineIndex,start_time,end_time,duration,x_pos,y_pos,pup_size,valid
1950149,1,L,1.0,2.0,26.0,593087.0,593199.0,116.0,276.7,155.5,1449.0,yes
1950149,1,L,2.0,3.0,48.0,597707.0,597835.0,132.0,228.9,239.2,1384.0,yes
1950149,1,L,3.0,4.0,81.0,607787.0,607875.0,92.0,296.3,307.2,1069.0,yes
1950149,1,L,4.0,5.0,103.0,615595.0,615699.0,108.0,291.3,389.8,1198.0,yes
1950149,1,L,5.0,6.0,130.0,622791.0,622899.0,112.0,297.7,441.3,1069.0,yes
1950149,1,L,6.0,7.0,157.0,628823.0,629031.0,212.0,267.4,509.6,958.0,yes
1950149,1,L,7.0,8.0,185.0,635047.0,635139.0,96.0,305.3,556.7,1048.0,yes
1950149,1,L,8.0,9.0,206.0,639523.0,639675.0,156.0,343.2,555.3,918.0,yes
1950149,1,L,9.0,10.0,228.0,645075.0,645343.0,272.0,281.4,610.4,943.0,yes
1950149,1,L,10.0,11.0,247.0,649443.0,649683.0,244.0,262.7,686.1,897.0,yes
1950149,1,L,11.0,12.0,263.0,653995.0,654119.0,128.0,282.5,737.5,930.0,yes
1950149,1,L,12.0,13.0,287.0,659943.0,660047.0,108.0,262.1,803.0,978.0,yes
1950149,1,R,1.0,2.0,340.0,593087.0,593199.0,116.0,303.6,137.8,1299.0,yes
1950149,1,R,2.0,3.0,362.0,597707.0,597835.0,132.0,244.9,196.8,1217.0,yes
1950149,1,R,3.0,4.0,397.0,607787.0,607871.0,88.0,301.5,266.0,966.0,yes
1950149,1,R,4.0,5.0,419.0,615595.0,615699.0,108.0,303.3,361.3,1074.0,yes
1950149,1,R,5.0,6.0,444.0,622791.0,622899.0,112.0,292.9,397.1,954.0,yes
1950149,1,R,6.0,7.0,472.0,628831.0,629031.0,204.0,273.1,467.9,864.0,yes
1950149,1,R,7.0,8.0,499.0,635047.0,635139.0,96.0,298.9,521.0,954.0,yes
1950149,1,R,8.0,9.0,520.0,639519.0,639675.0,160.0,350.8,533.5,829.0,yes
1950149,1,R,9.0,10.0,542.0,645075.0,645343.0,272.0,268.7,576.2,847.0,yes
1950149,1,R,10.0,11.0,561.0,649451.0,649687.0,240.0,252.9,671.7,821.0,yes
1950149,1,R,11.0,12.0,579.0,653995.0,654115.0,124.0,292.1,725.6,824.0,yes
1950149,1,R,12.0,13.0,601.0,659947.0,660047.0,104.0,251.4,762.5,848.0,yes
1950149,2,L,1.0,2.0,2.0,671779.0,671831.0,56.0,443.2,72.4,1131.0,yes
1950149,2,L,2.0,3.0,25.0,677555.0,677639.0,88.0,287.8,174.5,1345.0,yes
1950149,2,L,3.0,4.0,54.0,684387.0,684591.0,208.0,225.6,239.2,1064.0,yes
1950149,2,L,4.0,5.0,72.0,689439.0,689535.0,100.0,329.4,263.8,1380.0,yes
1950149,2,L,5.0,6.0,94.0,694819.0,695487.0,672.0,253.4,383.0,1095.0,yes
1950149,2,L,6.0,7.0,119.0,701491.0,701767.0,280.0,256.5,436.3,1097.0,yes
1950149,2,L,7.0,6.0,120.0,701839.0,701935.0,100.0,924.4,393.5,1028.0,yes
1950149,2,L,6.0,7.0,123.0,702235.0,702435.0,204.0,300.4,445.3,1032.0,yes
1950149,2,L,7.0,8.0,138.0,705619.0,705719.0,104.0,323.3,492.8,986.0,yes
1950149,2,L,8.0,9.0,158.0,710419.0,710511.0,96.0,323.4,557.5,984.0,yes
1950149,2,R,1.0,2.0,196.0,671779.0,671831.0,56.0,444.2,60.5,993.0,yes
1950149,2,R,2.0,3.0,217.0,677563.0,677635.0,76.0,298.9,133.1,1161.0,yes
1950149,2,R,3.0,4.0,247.0,684387.0,684591.0,208.0,254.3,193.5,959.0,yes
1950149,2,R,4.0,5.0,263.0,689559.0,689947.0,392.0,308.5,265.6,1237.0,yes
1950149,2,R,5.0,6.0,282.0,694819.0,695491.0,676.0,264.0,332.6,969.0,yes
1950149,2,R,6.0,7.0,308.0,701499.0,701767.0,272.0,276.1,388.7,1015.0,yes
1950149,2,R,7.0,6.0,309.0,701835.0,701939.0,108.0,958.9,341.0,922.0,yes
1950149,2,R,6.0,7.0,312.0,702235.0,702435.0,204.0,317.2,390.5,932.0,yes
1950149,2,R,7.0,8.0,327.0,705619.0,705719.0,104.0,331.4,424.4,884.0,yes
1950149,2,R,8.0,9.0,348.0,710419.0,710511.0,96.0,337.1,496.8,871.0,yes
1950149,3,L,1.0,2.0,34.0,734959.0,735091.0,136.0,236.4,218.6,1324.0,yes
1950149,3,L,2.0,3.0,63.0,741703.0,741923.0,224.0,262.4,276.1,1367.0,yes
1950149,3,L,3.0,4.0,87.0,747963.0,748211.0,252.0,257.6,326.9,1185.0,yes
1950149,3,L,4.0,5.0,108.0,753063.0,753295.0,236.0,253.4,404.2,1174.0,yes
1950149,3,L,5.0,6.0,156.0,767687.0,767987.0,304.0,275.3,468.6,1125.0,yes
1950149,3,L,6.0,7.0,176.0,772043.0,772427.0,388.0,281.4,521.6,1023.0,yes
1950149,3,L,7.0,8.0,200.0,777243.0,777455.0,216.0,269.3,575.2,912.0,yes
1950149,3,L,8.0,9.0,217.0,781355.0,781855.0,504.0,296.3,630.6,1031.0,yes
1950149,3,L,9.0,8.0,218.0,781923.0,782047.0,128.0,900.0,564.9,1012.0,yes
1950149,3,L,8.0,9.0,220.0,782347.0,782531.0,188.0,289.1,648.7,1047.0,yes
1950149,3,L,9.0,10.0,240.0,788119.0,788367.0,252.0,313.4,698.5,925.0,yes
1950149,3,L,10.0,11.0,264.0,794895.0,794979.0,88.0,308.6,740.5,992.0,yes
