subj,trial_id,trial_type,trialstart,trialend,tdur,recstart,recend,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount,rpregres,ttfixurt
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,1,3,The,1,215,247,204.33333333333334,247.0,228.0,1.0,0.0,0.0,605.0,1.0,228.0,232.0,228.0,0.0,0.0,605.0,236.0,1.0,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,2,6, trial,1,247,312,247.0,312.0,812.0,3.0,0.0,0.0,605.0,2.0,232.0,292.0,812.0,0.0,0.0,605.0,244.0,1.0,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,3,5, pack,1,312,366,312.0,366.0,292.0,1.0,1.0,1.0,2.0,3.0,292.0,236.0,1056.0,3.0,1.0,2.0,284.0,1.0,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,4,3, of,1,366,398,366.0,398.0,172.0,1.0,0.0,0.0,605.0,0.0,172.0,304.0,172.0,0.0,0.0,605.0,,,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,5,15, Beauty-Forever,1,398,560,398.0,560.0,860.0,3.0,1.0,4.0,9.0,2.0,324.0,172.0,1336.0,2.0,4.0,14.0,304.0,1.0,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,6,6, pills,1,560,625,560.0,625.0,216.0,1.0,0.0,0.0,605.0,2.0,216.0,288.0,216.0,0.0,0.0,605.0,,,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,7,5, made,1,625,679,625.0,679.0,288.0,1.0,0.0,0.0,605.0,3.0,288.0,240.0,288.0,0.0,0.0,605.0,,,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,8,4, the,1,679,722,679.0,722.0,,,,,,,,,,,,,,,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,9,7, couple,1,722,798,722.0,798.0,396.0,2.0,0.0,0.0,605.0,0.0,240.0,212.0,396.0,0.0,0.0,605.0,208.0,1.0,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,10,5, feel,1,798,852,798.0,852.0,,,,,,,,,,,,,,,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,11,5, more,1,852,906,852.0,906.0,212.0,1.0,1.0,9.0,48.0,0.0,212.0,208.0,692.0,2.0,9.0,52.0,272.0,1.0,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,12,11, attractive,1,906,1025,906.0,1035.6666666666667,332.0,1.0,0.0,0.0,605.0,5.0,332.0,292.0,332.0,0.0,0.0,605.0,,,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,13,4,than,2,215,258,204.33333333333334,258.0,292.0,1.0,0.0,0.0,605.0,3.0,292.0,376.0,292.0,0.0,0.0,605.0,,,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,14,7, either,2,258,334,258.0,334.0,376.0,1.0,0.0,0.0,605.0,2.0,376.0,340.0,376.0,0.0,0.0,605.0,,,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,15,4, had,2,334,377,334.0,377.0,340.0,1.0,0.0,0.0,605.0,3.0,340.0,176.0,340.0,0.0,0.0,605.0,,,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,16,5, ever,2,377,431,377.0,431.0,176.0,1.0,0.0,0.0,605.0,2.0,176.0,224.0,176.0,0.0,0.0,605.0,,,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,17,9, imagined,2,431,528,431.0,528.0,224.0,1.0,0.0,0.0,605.0,5.0,224.0,520.0,224.0,0.0,0.0,605.0,,,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,18,10, possible.,2,528,636,528.0,636.0,520.0,1.0,0.0,0.0,605.0,7.0,520.0,224.0,520.0,0.0,0.0,605.0,,,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,19,9, Suddenly,2,636,733,636.0,733.0,664.0,3.0,0.0,0.0,605.0,6.0,224.0,204.0,664.0,0.0,0.0,605.0,,,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,20,6, their,2,733,798,733.0,798.0,168.0,1.0,0.0,0.0,605.0,5.0,168.0,288.0,168.0,0.0,0.0,605.0,,,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,21,9, marriage,2,798,895,798.0,895.0,204.0,1.0,1.0,20.0,119.0,1.0,204.0,168.0,660.0,2.0,20.0,128.0,288.0,1.0,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,22,4, was,2,895,938,895.0,938.0,,,,,,,,,,,,,,,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,23,7, filled,2,938,1014,938.0,1024.6666666666667,452.0,2.0,0.0,0.0,605.0,1.0,336.0,396.0,452.0,0.0,0.0,605.0,,,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,24,4,with,3,215,258,204.33333333333334,258.0,396.0,1.0,0.0,0.0,605.0,3.0,396.0,160.0,396.0,0.0,0.0,605.0,,,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,25,5, more,3,258,312,258.0,312.0,160.0,1.0,0.0,0.0,605.0,2.0,160.0,224.0,160.0,0.0,0.0,605.0,,,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,26,10," laughter,",3,312,420,312.0,420.0,224.0,1.0,0.0,0.0,605.0,3.0,224.0,364.0,224.0,0.0,0.0,605.0,,,,26120.0
1950168,2,story02,634703,674092,39389,634777,673279,10,L,23011.0,0.0,139,28,27,5, more,3,420,474,420.0,474.0,124.0,1.0,0.0,0.0,605.0,3.0,124.0,184.0,124.0,0.0,0.0,605.0,,,,26120.0
