Name,Language,WordID,Word,length,height,baseline,line_no,x1_pos,y1_pos,x2_pos,y2_pos,b_x1,b_y1,b_x2,b_y2
story01,English,1,Alex,4,14,86,1,215,87,258,101,215,65,258,127
story01,English,2, and,4,13,86,1,258,88,301,101,258,65,301,127
story01,English,3, Tim,4,13,86,1,301,88,344,101,301,65,344,127
story01,English,4, are,4,10,86,1,344,91,387,101,344,65,387,127
story01,English,5, lost.,6,14,86,1,387,87,452,101,387,65,452,127
story01,English,6, Alex's,7,14,86,1,452,87,528,101,452,65,528,127
story01,English,7, wife,5,13,86,1,528,88,582,101,528,65,582,127
story01,English,8, recently,9,18,86,1,582,87,679,105,582,65,679,127
story01,English,9, passed,7,17,86,1,679,88,755,105,679,65,755,127
story01,English,10, away,5,14,86,1,755,91,809,105,755,65,809,127
story01,English,11, and,4,13,86,1,809,88,852,101,809,65,852,127
story01,English,12, he,3,13,86,1,852,88,884,101,852,65,884,127
story01,English,13, couldn't,9,14,86,1,884,87,981,101,884,65,981,127
story01,English,14,find,4,13,151,2,215,153,258,166,215,130,258,192
story01,English,15, the,4,13,151,2,258,153,301,166,258,130,301,192
story01,English,16, motivation,11,13,151,2,301,153,420,166,301,130,420,192
story01,English,17, to,3,12,151,2,420,154,452,166,420,130,452,192
story01,English,18, live,5,14,151,2,452,152,506,166,452,130,506,192
story01,English,19, a,2,10,151,2,506,156,528,166,506,130,528,192
story01,English,20, normal,7,14,151,2,528,152,604,166,528,130,604,192
story01,English,21, life.,6,14,151,2,604,152,669,166,604,130,669,192
story01,English,22, Tim,4,13,151,2,669,153,712,166,669,130,712,192
story01,English,23, has,4,13,151,2,712,153,755,166,712,130,755,192
story01,English,24, been,5,13,151,2,755,153,809,166,755,130,809,192
story01,English,25, charged,8,17,151,2,809,153,895,170,809,130,895,192
story01,English,26, with,5,13,151,2,895,153,949,166,895,130,949,192
story01,English,27,embezzlement,12,14,216,3,215,217,345,231,215,195,345,257
story01,English,28, and,4,13,216,3,345,218,388,231,345,195,388,257
story01,English,29, is,3,13,216,3,388,218,420,231,388,195,420,257
story01,English,30, going,6,17,216,3,420,218,485,235,420,195,485,257
story01,English,31, to,3,12,216,3,485,219,517,231,485,195,517,257
story01,English,32, prison,7,17,216,3,517,218,593,235,517,195,593,257
story01,English,33, soon.,6,10,216,3,593,221,658,231,593,195,658,257
story01,English,34, The,4,13,216,3,658,218,701,231,658,195,701,257
story01,English,35, thought,8,17,216,3,701,218,787,235,701,195,787,257
story01,English,36, of,3,13,216,3,787,218,819,231,787,195,819,257
story01,English,37, that,5,13,216,3,819,218,873,231,819,195,873,257
story01,English,38, terrified,10,13,216,3,873,218,981,231,873,195,981,257
story01,English,39,him.,4,13,281,4,215,283,258,296,215,261,258,322
story01,English,40, They,5,17,281,4,258,283,312,300,258,261,312,322
story01,English,41, decided,8,13,281,4,312,283,398,296,312,261,398,322
story01,English,42, to,3,12,281,4,398,284,430,296,398,261,430,322
story01,English,43, take,5,13,281,4,430,283,484,296,430,261,484,322
story01,English,44, a,2,10,281,4,484,286,506,296,484,261,506,322
story01,English,45, ride,5,13,281,4,506,283,560,296,506,261,560,322
story01,English,46, down,5,13,281,4,560,283,614,296,560,261,614,322
story01,English,47, the,4,13,281,4,614,283,657,296,614,261,657,322
story01,English,48, river,6,13,281,4,657,283,722,296,657,261,722,322
story01,English,49, rapids,7,17,281,4,722,283,798,300,722,261,798,322
story01,English,50, at,3,12,281,4,798,284,830,296,798,261,830,322
story01,English,51, Cataract,9,12,281,4,830,284,927,296,830,261,927,322
story01,English,52, Canyon.,8,16,281,4,927,284,1013,300,927,261,1013,322
story01,English,53,A,1,12,346,5,215,349,226,361,215,325,226,387
story01,English,54, river,6,13,346,5,226,348,291,361,226,325,291,387
story01,English,55, only,5,18,346,5,291,347,345,365,291,325,345,387
story01,English,56, goes,5,14,346,5,345,351,399,365,345,325,399,387
story01,English,57, one,4,10,346,5,399,351,442,361,399,325,442,387
story01,English,58, way.,5,14,346,5,442,351,496,365,442,325,496,387
story01,English,59, If,3,13,346,5,496,348,528,361,496,325,528,387
story01,English,60, you,4,14,346,5,528,351,571,365,528,325,571,387
story01,English,61, are,4,10,346,5,571,351,614,361,571,325,614,387
story01,English,62," lost,",6,17,346,5,614,347,679,364,614,325,679,387
story01,English,63, that,5,13,346,5,679,348,733,361,679,325,733,387
story01,English,64, is,3,13,346,5,733,348,765,361,733,325,765,387
story01,English,65, good.,6,17,346,5,765,348,830,365,765,325,830,387
story01,English,66, Alex,5,14,346,5,830,347,884,361,830,325,884,387
story01,English,67, has,4,13,346,5,884,348,927,361,884,325,927,387
story01,English,68, never,6,10,346,5,927,351,992,361,927,325,992,387
story01,English,69,rafted,6,13,411,6,215,413,280,426,215,390,280,452
story01,English,70, on,3,10,411,6,280,416,312,426,280,390,312,452
story01,English,71, this,5,13,411,6,312,413,366,426,312,390,366,452
story01,English,72, river,6,13,411,6,366,413,431,426,366,390,431,452
story01,English,73," before,",8,16,411,6,431,413,517,429,431,390,517,452
story01,English,74, but,4,13,411,6,517,413,560,426,517,390,560,452
story01,English,75, Tim,4,13,411,6,560,413,603,426,560,390,603,452
story01,English,76, has,4,13,411,6,603,413,646,426,603,390,646,452
story01,English,77, many,5,14,411,6,646,416,700,430,646,390,700,452
story01,English,78, times.,7,13,411,6,700,413,776,426,700,390,776,452
story01,English,79, Tim,4,13,411,6,776,413,819,426,776,390,819,452
story01,English,80, tells,6,14,411,6,819,412,884,426,819,390,884,452
story01,English,81, Alex,5,14,411,6,884,412,938,426,884,390,938,452
story01,English,82, that,5,13,411,6,938,413,992,426,938,390,992,452
story01,English,83,the,3,13,476,7,215,478,247,491,215,455,247,517
story01,English,84, rapids,7,17,476,7,247,478,323,495,247,455,323,517
story01,English,85, can,4,10,476,7,323,481,366,491,323,455,366,517
story01,English,86, be,3,13,476,7,366,478,398,491,366,455,398,517
story01,English,87, a,2,10,476,7,398,481,420,491,398,455,420,517
