Name,Language,WordID,Word,length,height,baseline,line_no,x1_pos,y1_pos,x2_pos,y2_pos,b_x1,b_y1,b_x2,b_y2
KoreanStory,Korean,1,옛날에,3,18,95,1,215,96,269,114,215,74,269,136
KoreanStory,Korean,2, 사시장철,5,18,95,1,269,96,347,114,269,74,347,136
KoreanStory,Korean,3, 춥지도,4,18,95,1,347,96,407,114,347,74,407,136
KoreanStory,Korean,4, 더웁지도,5,18,95,1,407,96,485,114,407,74,485,136
KoreanStory,Korean,5, 않게,3,18,95,1,485,96,527,114,485,74,527,136
KoreanStory,Korean,6, 날씨,3,18,95,1,527,96,569,114,527,74,569,136
KoreanStory,Korean,7, 좋고,3,18,95,1,569,96,611,114,569,74,611,136
KoreanStory,Korean,8, 땅은,3,18,95,1,611,96,653,114,611,74,653,136
KoreanStory,Korean,9, 기름진,4,18,95,1,653,96,713,114,653,74,713,136
KoreanStory,Korean,10,고장에,3,18,160,2,215,161,269,179,215,139,269,201
KoreanStory,Korean,11, 작고,3,18,160,2,269,161,311,179,269,139,311,201
KoreanStory,Korean,12, 아름다운,5,18,160,2,311,161,389,179,311,139,389,201
KoreanStory,Korean,13, 나라가,4,18,160,2,389,161,449,179,389,139,449,201
KoreanStory,Korean,14, 있었습니다.,7,18,160,2,449,161,550,179,449,139,550,201
KoreanStory,Korean,15, 그,2,18,160,2,550,161,574,179,550,139,574,201
KoreanStory,Korean,16, 나라를,4,18,160,2,574,161,634,179,574,139,634,201
KoreanStory,Korean,17, 다스리는,5,18,160,2,634,161,712,179,634,139,712,201
KoreanStory,Korean,18,임금님도,4,18,225,3,215,226,287,244,215,204,287,266
KoreanStory,Korean,19, 그,2,18,225,3,287,226,311,244,287,204,311,266
KoreanStory,Korean,20, 나라의,4,18,225,3,311,226,371,244,311,204,371,266
KoreanStory,Korean,21, 자연만큼이나,7,18,225,3,371,226,485,244,371,204,485,266
KoreanStory,Korean,22, 자비로워,5,18,225,3,485,226,563,244,485,204,563,266
KoreanStory,Korean,23, 그,2,18,225,3,563,226,587,244,563,204,587,266
KoreanStory,Korean,24, 나라의,4,18,225,3,587,226,647,244,587,204,647,266
KoreanStory,Korean,25, 백성들은,5,18,225,3,647,226,725,244,647,204,725,266
KoreanStory,Korean,26,모두,2,18,290,4,215,291,251,309,215,269,251,331
KoreanStory,Korean,27, 행복했습니다.,8,18,290,4,251,291,370,309,251,269,370,331
KoreanStory,Korean,28, 나쁜,3,18,290,4,370,291,412,309,370,269,412,331
KoreanStory,Korean,29, 짓을,3,18,290,4,412,291,454,309,412,269,454,331
KoreanStory,Korean,30, 한,2,18,290,4,454,291,478,309,454,269,478,331
KoreanStory,Korean,31, 죄인을,4,18,290,4,478,291,538,309,478,269,538,331
KoreanStory,Korean,32, 가두기,4,18,290,4,538,291,598,309,538,269,598,331
KoreanStory,Korean,33, 위한,3,18,290,4,598,291,640,309,598,269,640,331
KoreanStory,Korean,34, 감옥이,4,18,290,4,640,291,700,309,640,269,700,331
KoreanStory,Korean,35,오래전부터,5,18,355,5,215,356,305,374,215,334,305,396
KoreanStory,Korean,36, 비어,3,18,355,5,305,356,347,374,305,334,347,396
KoreanStory,Korean,37, 있어,3,18,355,5,347,356,389,374,347,334,389,396
KoreanStory,Korean,38, 관광지가,5,18,355,5,389,356,467,374,389,334,467,396
KoreanStory,Korean,39, 된,2,18,355,5,467,356,491,374,467,334,491,396
KoreanStory,Korean,40, 지,2,18,355,5,491,356,515,374,491,334,515,396
KoreanStory,Korean,41, 몇,2,18,355,5,515,356,539,374,515,334,539,396
KoreanStory,Korean,42, 년째입니다.,7,18,355,5,539,356,640,374,539,334,640,396
