Name,Language,WordID,Word,length,height,baseline,line_no,x1_pos,y1_pos,x2_pos,y2_pos,b_x1,b_y1,b_x2,b_y2
story02,English,1,The,3,13,86,1,215,88,247,101,215,65,247,127
story02,English,2, trial,6,14,86,1,247,87,312,101,247,65,312,127
story02,English,3, pack,5,17,86,1,312,88,366,105,312,65,366,127
story02,English,4, of,3,13,86,1,366,88,398,101,366,65,398,127
story02,English,5, Beauty-Forever,15,16,86,1,398,89,560,105,398,65,560,127
story02,English,6, pills,6,18,86,1,560,87,625,105,560,65,625,127
story02,English,7, made,5,13,86,1,625,88,679,101,625,65,679,127
story02,English,8, the,4,13,86,1,679,88,722,101,679,65,722,127
story02,English,9, couple,7,18,86,1,722,87,798,105,722,65,798,127
story02,English,10, feel,5,14,86,1,798,87,852,101,798,65,852,127
story02,English,11, more,5,10,86,1,852,91,906,101,852,65,906,127
story02,English,12, attractive,11,13,86,1,906,88,1025,101,906,65,1025,127
story02,English,13,than,4,13,151,2,215,153,258,166,215,130,258,192
story02,English,14, either,7,13,151,2,258,153,334,166,258,130,334,192
story02,English,15, had,4,13,151,2,334,153,377,166,334,130,377,192
story02,English,16, ever,5,10,151,2,377,156,431,166,377,130,431,192
story02,English,17, imagined,9,17,151,2,431,153,528,170,431,130,528,192
story02,English,18, possible.,10,18,151,2,528,152,636,170,528,130,636,192
story02,English,19, Suddenly,9,18,151,2,636,152,733,170,636,130,733,192
story02,English,20, their,6,13,151,2,733,153,798,166,733,130,798,192
story02,English,21, marriage,9,17,151,2,798,153,895,170,798,130,895,192
story02,English,22, was,4,10,151,2,895,156,938,166,895,130,938,192
story02,English,23, filled,7,14,151,2,938,152,1014,166,938,130,1014,192
story02,English,24,with,4,13,216,3,215,218,258,231,215,195,258,257
story02,English,25, more,5,10,216,3,258,221,312,231,258,195,312,257
story02,English,26," laughter,",10,18,216,3,312,217,420,235,312,195,420,257
story02,English,27, more,5,10,216,3,420,221,474,231,420,195,474,257
story02,English,28," cuddling,",10,18,216,3,474,217,582,235,474,195,582,257
story02,English,29, more,5,10,216,3,582,221,636,231,582,195,636,257
story02,English,30, passionate,11,17,216,3,636,218,755,235,636,195,755,257
story02,English,31, sex,4,10,216,3,755,221,798,231,755,195,798,257
story02,English,32, more,5,10,216,3,798,221,852,231,798,195,852,257
story02,English,33, often.,7,13,216,3,852,218,928,231,852,195,928,257
story02,English,34,"Convinced,",10,16,281,4,215,283,323,299,215,260,323,322
story02,English,35, they,5,17,281,4,323,283,377,300,323,260,377,322
story02,English,36, became,7,13,281,4,377,283,453,296,377,260,453,322
story02,English,37, loyal,6,18,281,4,453,282,518,300,453,260,518,322
story02,English,38, customers.,11,12,281,4,518,284,637,296,518,260,637,322
story02,English,39, One,4,12,281,4,637,284,680,296,637,260,680,322
story02,English,40," day,",5,17,281,4,680,283,734,300,680,260,734,322
story02,English,41, lying,6,18,281,4,734,282,799,300,734,260,799,322
story02,English,42, in,3,13,281,4,799,283,831,296,799,260,831,322
story02,English,43," bed,",5,16,281,4,831,283,885,299,831,260,885,322
story02,English,44, their,6,13,281,4,885,283,950,296,885,260,950,322
story02,English,45,seemingly,9,18,346,5,215,347,312,365,215,325,312,387
story02,English,46, perfect,8,17,346,5,312,348,398,365,312,325,398,387
story02,English,47, bodies,7,13,346,5,398,348,474,361,398,325,474,387
story02,English,48, naked,6,13,346,5,474,348,539,361,474,325,539,387
story02,English,49, and,4,13,346,5,539,348,582,361,539,325,582,387
story02,English,50, spent,6,16,346,5,582,349,647,365,582,325,647,387
story02,English,51," together,",10,17,346,5,647,348,755,365,647,325,755,387
story02,English,52, the,4,13,346,5,755,348,798,361,755,325,798,387
story02,English,53, wife,5,13,346,5,798,348,852,361,798,325,852,387
story02,English,54," said,",6,16,346,5,852,348,917,364,852,325,917,387
story02,English,55," ""Did",5,13,346,5,917,348,971,361,917,325,971,387
story02,English,56, you,4,14,346,5,971,351,1014,365,971,325,1014,387
story02,English,57,think,5,13,411,6,215,413,269,426,215,390,269,451
story02,English,58, I,2,12,411,6,269,414,291,426,269,390,291,451
